bond_id;price_dirty;yield;duration
55637;109.451;0.03;5.2
55648;104.106;0.017;1.37
55656;104.172;0.018;0.91
55687;101.776;0.016;2.85
55691;123.581;0.035;13.9
55785;102.86;0.016;1.43
55863;97.511;0.055;14.15
55894;28.147;2.2;0.86
55928;103.677;0.011;0.23
55951;100.817;0.009;0.52
55966;27.068;0.264;3.9
56069;102.506;0.069;1
56145;100.817;0.009;0.52
56187;102.099;0.017;1.02
56231;106.863;0.029;1.06
56280;106.806;0.029;1.07
56358;51.079;0.175;5.87
56366;103.373;0.064;1.03
56450;102.903;0.019;1.08
56686;103.606;0.057;1.12
56851;102.121;0.018;1.1
56869;103.649;0.057;1.11
56882;102.75;0.046;1.97
56894;101.133;0.038;5.47
57015;105.274;0.031;1.13
57177;104.4;0.022;1.21
57189;102.652;0.017;1.16
57276;104.476;0.023;0.3
57280;101.157;0.012;0.76
57285;99.945;0.057;1.16
57535;102.85;0.028;0.46
57682;102.738;0.064;1.43
57836;101.25;0.041;5.97
57916;101.25;0.041;5.97
58000;107.247;0.032;3.09
58011;106.752;0.047;null
58096;101.298;0.018;1.34
58143;101.354;0.016;1.34
58222;105.801;0.028;5.73
58664;27.479;0.322;3.13
58685;91.356;0.077;5.33
58734;99.969;0.012;1.37
58846;91.34;0.077;5.33
59132;423.607;null;null
59388;101.938;0.017;1.49
59431;104.738;0.025;5.89
59633;67.134;0.288;2.27
59753;101.437;0.043;1.56
59833;104.24;0.035;null
59845;46.905;0.16;6.85
60045;99.926;0.017;1.5
60076;100.713;0.03;5.99
60272;104.999;0.054;5.53
60451;101.291;null;null
60977;97.452;0.045;5.9
61012;99.77;0.017;1.51
61314;103.976;0.034;null
61338;96.228;0.1;4.95
61547;99.678;0.018;1.85
61619;99.272;0.015;1.87
61689;98.937;0.027;1.87
61789;101.087;0.046;1.85
61811;101.087;0.046;1.87
61817;96.283;0.083;1.82
61934;99.776;0.021;2.35
61946;25.778;0.229;4.6
62209;103.136;0.035;6.12
62364;99.83;0.02;2.47
62680;null;null;null
62765;99.783;0.02;2.46
62906;100.216;0.037;6.25
63010;19.127;0.542;2.64
63114;79.535;0.081;8.53
63116;100.479;0.02;1.99
63286;79.535;0.118;2.83
63456;79.535;0.118;2.83
63465;null;null;null
63621;73.397;0.171;3.43
63806;57.469;0.423;1.84
63865;57.469;0.423;1.84
63927;null;null;null
64318;41.475;0.325;3.54
64420;82.142;0.083;5.97
64493;24.907;0.222;4.75
64583;100.077;0.019;2.17
64596;82.102;0.083;5.98
64786;100.19;0.025;3.09
64799;100.098;0.019;2.16
64847;102.364;0.029;6.46
64877;102.299;0.029;6.47
64921;105.102;0.041;16.18
65405;99.694;0.073;3.19
65611;99.395;0.018;2.2
65638;100.173;null;null
65719;101.095;0.026;2.75
65847;101.1;0.026;2.76
65948;101.725;0.069;4.71
66119;25.021;null;0.01
66176;41.744;null;null
66666;110.195;0.034;6.7
66688;110.235;0.041;6.29
66733;101.223;null;null
66734;102.089;0.021;2.3
66788;110.128;0.034;6.72
66827;100.746;0.015;2.37
67070;108.081;0.022;6.63
67165;118.097;0.035;null
67438;100.986;0.015;1.37
67505;101.27;0.007;0.23
67542;99.848;null;null
67555;104.144;0.015;1.04
67691;104.532;0.026;2.39
67725;112.757;0.027;2.75
67894;99.706;0.094;4.06
